Week,Team,Opponent,Moneyline,Implied,Vig Free,Delta,Spread,Weight,Weighted Spread
1,Redwoods,Atlas,168,37%,35%,-14.82%,-1.01,66.67%,-0.67
1,Atlas,Redwoods,-220,69%,65%,14.82%,1.01,66.67%,0.67
1,Cannons,Archers,200,33%,32%,-18.42%,-1.25,66.67%,-0.83
1,Archers,Cannons,-260,72%,68%,18.42%,1.25,66.67%,0.83
1,Chaos,Waterdogs,186,35%,33%,-17.01%,-1.15,66.67%,-0.77
1,Waterdogs,Chaos,-245,71%,67%,17.01%,1.15,66.67%,0.77
1,Whipsnakes,Chrome,-125,56%,52%,2.39%,0.16,66.67%,0.11
1,Chrome,Whipsnakes,-102,50%,48%,-2.39%,-0.16,66.67%,-0.11
2,Chrome,Archers,100,50%,48%,-2.17%,-0.15,80.00%,-0.12
2,Archers,Chrome,-120,55%,52%,2.17%,0.15,80.00%,0.12
2,Waterdogs,Redwoods,-140,58%,55%,5.06%,0.34,80.00%,0.27
2,Redwoods,Waterdogs,110,48%,45%,-5.06%,-0.34,80.00%,-0.27
2,Whipsnakes,Atlas,-105,51%,49%,-1.08%,-0.07,80.00%,-0.06
2,Atlas,Whipsnakes,-115,53%,51%,1.08%,0.07,80.00%,0.06
2,Chaos,Cannons,-150,60%,56%,5.75%,0.39,80.00%,0.31
2,Cannons,Chaos,110,48%,44%,-5.75%,-0.39,80.00%,-0.31
3,Waterdogs,Atlas,108,48%,47%,-3.34%,-0.23,100.00%,-0.23
3,Atlas,Waterdogs,-122,55%,53%,3.34%,0.23,100.00%,0.23
3,Chrome,Cannons,-178,64%,61%,10.97%,0.74,100.00%,0.74
3,Cannons,Chrome,144,41%,39%,-10.97%,-0.74,100.00%,-0.74
3,Archers,Chaos,-144,59%,56%,6.27%,0.43,100.00%,0.43
3,Chaos,Archers,118,46%,44%,-6.27%,-0.43,100.00%,-0.43
3,Redwoods,Whipsnakes,100,50%,48%,-2.36%,-0.16,100.00%,-0.16
3,Whipsnakes,Redwoods,-122,55%,52%,2.36%,0.16,100.00%,0.16
